Date,Open,High,Low,Close,Volume,Adj Close,Tmr Close,No.,High_Low,Close_Open
29/6/2004,1817.92,1836.01,1810.76,1830.24,173141600,1830.24,1838,123,25.25,12.32
30/6/2004,1830.98,1844.89,1828.9,1838,172448200,1838,1844.18,124,15.99,7.02
1/7/2004,1840.31,1851.74,1838.17,1844.18,101903800,1844.18,1839.33,125,13.57,3.87
2/7/2004,1837.09,1851.78,1830.28,1839.33,115126000,1839.33,1862.75,126,21.5,2.24
5/7/2004,1836.39,1865.86,1836.39,1862.75,86343600,1862.75,1874.57,127,29.47,26.36
6/7/2004,1868.7,1891.91,1867.45,1874.57,185350200,1874.57,1873.75,128,24.46,5.87
7/7/2004,1870.27,1877.05,1864.75,1873.75,121365000,1873.75,1860.5,129,12.3,3.48
8/7/2004,1869.88,1870.05,1853.38,1860.5,111036800,1860.5,1862.03,130,16.67,-9.38
9/7/2004,1860.42,1864.8,1853.28,1862.03,91198000,1862.03,1870.89,131,11.52,1.61
12/7/2004,1868.31,1876.17,1859.67,1870.89,129694800,1870.89,1878.15,132,16.5,2.58
13/7/2004,1875.92,1880.29,1864.43,1878.15,131308600,1878.15,1870.9,133,15.86,2.23
14/7/2004,1875.12,1882.29,1867.89,1870.9,102574200,1870.9,1867.56,134,14.4,-4.22
15/7/2004,1870.78,1875.27,1856.37,1867.56,162261200,1867.56,1871.47,135,18.9,-3.22
16/7/2004,1859.21,1876.03,1856.01,1871.47,123237600,1871.47,1881.77,136,20.02,12.26
19/7/2004,1867.26,1881.77,1866.85,1881.77,119813400,1881.77,1865.26,137,14.92,14.51
20/7/2004,1873.71,1874.16,1853.96,1865.26,136827400,1865.26,1873.17,138,20.2,-8.45
21/7/2004,1869.53,1879.48,1869.11,1873.17,131750200,1873.17,1862.97,139,10.37,3.64
22/7/2004,1865.12,1867.86,1856.49,1862.97,92204200,1862.97,1850.26,140,11.37,-2.15
23/7/2004,1856.27,1860.06,1850.24,1850.26,125218200,1850.26,1855.98,141,9.82,-6.01
26/7/2004,1844.33,1857.54,1842.37,1855.98,125875200,1855.98,1869.08,142,15.17,11.65
27/7/2004,1857.29,1875.64,1856.12,1869.08,129465200,1869.08,1875.25,143,19.52,11.79
28/7/2004,1876.45,1881.24,1872.67,1875.25,155016000,1875.25,1892.11,144,8.57,-1.2
29/7/2004,1871.42,1892.11,1865.45,1892.11,139430200,1892.11,1891.71,145,26.66,20.69
30/7/2004,1892.65,1895.98,1884.7,1891.71,122584400,1891.71,1887.41,146,11.28,-0.94
2/8/2004,1886.98,1892.55,1881.52,1887.41,87678800,1887.41,1911.8,147,11.03,0.43
3/8/2004,1890.02,1915.2,1889.9,1911.8,221604600,1911.8,1903.85,148,25.3,21.78
4/8/2004,1909.1,1914.23,1902.83,1903.85,287803600,1903.85,1935.7,149,11.4,-5.25
5/8/2004,1909.89,1942.8,1909.62,1935.7,323382400,1935.7,1922.75,150,33.18,25.81
6/8/2004,1931.04,1935.27,1920.23,1922.75,237854800,1922.75,1922.75,151,15.04,-8.29
9/8/2004,1922.75,1922.75,1922.75,1922.75,39093200,1922.75,1901.41,152,0,0
10/8/2004,1913.41,1915.13,1895.79,1901.41,167988600,1901.41,1896.19,153,19.34,-12
11/8/2004,1909.4,1911.95,1889.34,1896.19,206663600,1896.19,1888.18,154,22.61,-13.21
12/8/2004,1888.1,1892.62,1881.9,1888.18,175758800,1888.18,1872.88,155,10.72,0.08
13/8/2004,1876.19,1881.28,1861.57,1872.88,178402200,1872.88,1877.6,156,19.71,-3.31
16/8/2004,1871.54,1879.89,1870.3,1877.6,150568800,1877.6,1880.52,157,9.59,6.06
17/8/2004,1885.75,1893.85,1880.52,1880.52,88796000,1880.52,1890.68,158,13.33,-5.23
18/8/2004,1885.62,1894.72,1883.91,1890.68,148518000,1890.68,1907.05,159,10.81,5.06
19/8/2004,1899.32,1909.83,1897.84,1907.05,190600400,1907.05,1894.93,160,11.99,7.73
20/8/2004,1900.34,1902.78,1891.31,1894.93,127894600,1894.93,1901.23,161,11.47,-5.41
23/8/2004,1903.73,1906.54,1898.39,1901.23,102126000,1901.23,1905.4,162,8.15,-2.5
24/8/2004,1898.79,1905.4,1891.36,1905.4,111355200,1905.4,1917.09,163,14.04,6.61
25/8/2004,1902.75,1919.02,1899.78,1917.09,202842400,1917.09,1919.1,164,19.24,14.34
26/8/2004,1919.15,1933.78,1915.97,1919.1,175404200,1919.1,1915.9,165,17.81,-0.05
27/8/2004,1915.96,1922.86,1910.19,1915.9,108812600,1915.9,1905.45,166,12.67,-0.06
30/8/2004,1917.54,1923.84,1895.82,1905.45,104348400,1905.45,1918.34,167,28.02,-12.09
31/8/2004,1903.89,1919.28,1902.8,1918.34,124505800,1918.34,1929.48,168,16.48,14.45
1/9/2004,1921.48,1933.28,1920.57,1929.48,196905400,1929.48,1940.86,169,12.71,8
2/9/2004,1934.51,1945.71,1934.35,1940.86,167468000,1940.86,1936.55,170,11.36,6.35
3/9/2004,1938.29,1942.18,1933.59,1936.55,135789600,1936.55,1937.43,171,8.59,-1.74
6/9/2004,1934.08,1944.97,1930.33,1937.43,100497000,1937.43,1961.47,172,14.64,3.35
7/9/2004,1941.48,1961.47,1937.46,1961.47,133910000,1961.47,1959.13,173,24.01,19.99
8/9/2004,1959.81,1973.17,1954.07,1959.13,153644200,1959.13,1965.28,174,19.1,-0.68
9/9/2004,1960.57,1966.28,1955.04,1965.28,112410800,1965.28,1967.7,175,11.24,4.71
10/9/2004,1965.51,1967.7,1953.51,1967.7,153674600,1967.7,1985.79,176,14.19,2.19
13/9/2004,1974.9,1986.72,1972.42,1985.79,201940000,1985.79,1994.13,177,14.3,10.89
14/9/2004,1987.58,1994.13,1979.73,1994.13,152273400,1994.13,2003.99,178,14.4,6.55
15/9/2004,1999.45,2007.98,1995.13,2003.99,236969400,2003.99,1997.12,179,12.85,4.54
16/9/2004,1999.88,2003.96,1986.38,1997.12,126559600,1997.12,2003.56,180,17.58,-2.76
17/9/2004,1998.63,2003.56,1990.03,2003.56,162656400,2003.56,1988.11,181,13.53,4.93
20/9/2004,2005.46,2007.15,1987.84,1988.11,133396800,1988.11,2001.87,182,19.31,-17.35
21/9/2004,1988.55,2002.57,1982.05,2001.87,120151800,2001.87,1993.55,183,20.52,13.32
22/9/2004,2003.72,2004.88,1990.1,1993.55,113244200,1993.55,1988.64,184,14.78,-10.17
23/9/2004,1982.38,1988.64,1977.6,1988.64,151145400,1988.64,1973.46,185,11.04,6.26
24/9/2004,1983.26,1989.53,1971.32,1973.46,183864800,1973.46,1983.39,186,18.21,-9.8
27/9/2004,1970.38,1983.39,1970.25,1983.39,114911400,1983.39,1979.1,187,13.14,13.01
28/9/2004,1980.74,1981.39,1970.95,1979.1,152939200,1979.1,1974.35,188,10.44,-1.64
29/9/2004,1984.45,1984.45,1972.15,1974.35,85996400,1974.35,1984.74,189,12.3,-10.1
30/9/2004,1980.83,1993.04,1980.83,1984.74,141052800,1984.74,1981.14,190,12.21,3.91
1/10/2004,1986.96,1998.49,1981.14,1981.14,131212800,1981.14,2013.89,191,17.35,-5.82
4/10/2004,2001.18,2014.03,1998.31,2013.89,209912000,2013.89,2011.74,192,15.72,12.71
5/10/2004,2014.78,2018.54,2004.07,2011.74,149731800,2011.74,2016.04,193,14.47,-3.04
6/10/2004,2014,2019.47,2006.24,2016.04,154996800,2016.04,2006.19,194,13.23,2.04
7/10/2004,2020.67,2021.91,2003.76,2006.19,152165600,2006.19,2004.3,195,18.15,-14.48
8/10/2004,2000.83,2010.78,1999.65,2004.3,129224400,2004.3,1991.99,196,11.13,3.47
11/10/2004,2000.58,2001.96,1989.18,1991.99,87880400,1991.99,1971.04,197,12.78,-8.59
12/10/2004,1993.48,1993.89,1965.51,1971.04,218358000,1971.04,1971.15,198,28.38,-22.44
13/10/2004,1974.94,1976.72,1962.43,1971.15,181362800,1971.15,1951.47,199,14.29,-3.79
14/10/2004,1958.37,1960.8,1948.57,1951.47,123728400,1951.47,1962.54,200,12.23,-6.9
15/10/2004,1945.21,1970.59,1944.06,1962.54,94224600,1962.54,1950.55,201,26.53,17.33
18/10/2004,1962.45,1964.91,1950.55,1950.55,109329200,1950.55,1970.23,202,14.36,-11.9
19/10/2004,1962.22,1970.23,1958.24,1970.23,128168400,1970.23,1953,203,11.99,8.01
20/10/2004,1964.4,1972.78,1953,1953,115805000,1953,1969.18,204,19.78,-11.4
21/10/2004,1958.07,1969.18,1958.07,1969.18,159069000,1969.18,1967.07,205,11.11,11.11
22/10/2004,1932.18,1975.63,1932.18,1967.07,147545800,1967.07,1953.44,206,43.45,34.89
25/10/2004,1950.08,1956.95,1947.42,1953.44,82750000,1953.44,1957.41,207,9.53,3.36
26/10/2004,1949.07,1962.95,1949.07,1957.41,153693200,1957.41,1959.05,208,13.88,8.34
27/10/2004,1965.88,1968.01,1959.05,1959.05,84914400,1959.05,1988.05,209,8.96,-6.83
28/10/2004,1978.73,1995.47,1975.18,1988.05,126285400,1988.05,1980.69,210,20.29,9.32
29/10/2004,1983.58,1987.86,1978.35,1980.69,97992200,1980.69,1978.79,211,9.51,-2.89
1/11/2004,1988.8,1989.69,1974.79,1978.79,84177000,1978.79,1995.38,212,14.9,-10.01
2/11/2004,1988.14,1996.21,1987.31,1995.38,102676800,1995.38,2017.43,213,8.9,7.24
3/11/2004,1998.04,2024.23,1996.74,2017.43,156673200,2017.43,2010.65,214,27.49,19.39
